rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.accountLink,user.realm,user.userId,displayImageUrl,title
3.0,Meh.  Reasonably entertaining but unworthy of critical hype.,Jon S,False,False,False,False,3.0,"Oct 26, 2021",Jon S,/user/id/976151900,RT,976151900,,The Martian
2.0,"What a bad movie, it is entertained and yet so forgettable. 4/10",Pancho G,False,False,False,False,2.0,"Oct 21, 2021",Pancho G,/user/id/979041869,RT,979041869,https://graph.facebook.com/v3.3/130022695722492/picture,The Martian
3.5,It could have been a great movie but one thing really annoyed me: in every scene the actors are eating and talking with their mouth full. Why the obsession with eating?,John M,False,False,False,False,3.5,"Oct 14, 2021",John M,/user/id/978505339,RT,978505339,,The Martian
3.5,An occasionally comedic sci-fi version of 'Castaway' helmed by Ridley Scott and performed by an all-star cast.,Micah  S,False,False,False,False,3.5,"Oct 13, 2021",Micah  S,/user/id/976686318,RT,976686318,,The Martian
5.0,It is interesting to see the movies of the Mars and of course the BUDGET also I have DVD of this it is absolutely worth it.,Jun H,False,False,False,False,5.0,"Oct 04, 2021",Jun H,/user/id/979283118,RT,979283118,https://graph.facebook.com/v3.3/153247330345743/picture,The Martian
2.5,"Over emotional, with the touch of any multiorgasmic superhero movie, it comes as ridiculous by times. It goes beyond of reality with its extreme positivity, much more than what it can afford",Jess C,False,False,False,False,2.5,"Sep 29, 2021",Jess C,/user/id/976092686,RT,976092686,https://graph.facebook.com/v3.3/988947051241004/picture,The Martian
3.0,"Though 'The Martian' brings up some very interesting ideas, it never reaches the highs of the book, and it goes to the point where it is excruciatingly slow. The final scene of flying like 'Iron Man' was very silly, especially considering the grounded realism of the rest of the movie. Overall, it was still a decent watch, but not one of Ridley Scott's best. Final Rating: 64/100",Indian c,False,False,False,False,3.0,"Sep 24, 2021",Indian c,/user/id/978904192,RT,978904192,,The Martian
5.0,Great movie! Nervous wreck!,Rian N,False,False,False,False,5.0,"Sep 19, 2021",Rian N,/user/id/979268442,RT,979268442,,The Martian
5.0,"The Martian made me both laugh and cry. You really feel the main character's struggles, successes and failures. The graphics and acting are amazing. I highly recommend!",Heather D,False,False,False,False,5.0,"Sep 04, 2021",Heather D,/user/id/977233784,RT,977233784,https://graph.facebook.com/v3.3/10161042355985376/picture,The Martian
3.5,"Premiering at the 2015 Toronto International Film Festival, Ridley Scotts's 'The Martian' tells the incredible story of one man's survival after being left on Mars. Spanning over 141 minutes, 'The Martian' brings Andy Weir's 2011 novel to the big screen in a well-paced, well-written affair that features a star-studded cast with Matt Damon at its helm.

Presumed dead by his team after a vicious storm during a manned mission to Mars, Mark Watney (Matt Damon) finds himself stranded on the red planet, 385 million kilometres away from home. Relying on his resourcefulness, Mark must find a way to keep himself alive and find a way to signal to Earth that he didn't die while NASA and his crew try to reach him.

Matt Damon gives a great performance in the lead role. He does a terrific job keeping viewers interested throughout the film, especially considering he's the only person in the majority of the scenes. The supporting cast, including Jessica Chastain, Kristen Wiig, Sebastian Stan, and a whole host of Hollywood's finest, all give solid performances across the film. Not only does Damon do a splendid job keeping viewers entertained, but Drew Goddard's screenplay makes sure viewers don't get bored when Watney starts mentioning things like hexadecimals and many other scientific details. 

For the most part, the science behind 'The Martian' is surprisingly accurate. Some are cosmetic, but the most important one, the storm that causes the film's events to take place, is something that can't physically happen. Scott's use of various wide and overhead shots does a great job emphasising Mark's isolation and loneliness. The visual effects on display throughout the film are impressive.  The VFX department does an incredible job making sure the CGI used looks realistic and doesn't blatantly stand out to viewers.

Despite being a futuristic sci-fi film, 'The Martian' incorporates themes that link to ideas of human nature and humanity's future. Man's natural desire to persevere and survive plays a key role in the film - If Mark didn't have this overwhelming hunger to survive he probably wouldn't have made it home; this directly links to themes of hope and possibility. One of the first times Mark addresses the audience, he directly says 'I'm Not Gonna Die Here'. The film asks the question of what future space travel will look like, and if we might actually have humans on mars sooner rather than later.

The biggest theme, however, is isolation/separation and what effects prolonged isolation has on someone. The only thing that appears to keep Mark sane through the film seems to be his access to a video log, telling both the log and viewers, what he's thinking and planning. The psychological effect of this shows up when Mark is finally rescued by his team and instantly tears up at the thought of being with other people again. Even the production design carries across this theme; the crew's kit and equipment remind Mark that he's all alone, with nothing and no one. 

On the whole, 'The Martian' does a brilliant job making the viewers feel like they're with Mark. The production design, camera movements and performances all help the viewer feel as though they're in the scene with Mark.

Overall, 'The Martian' is a superb film that showcases a sensational performance from its lead and features striking cinematography. Ridley Scott provides audiences with a movie that fans of off-planet adventures will enjoy for years to come.",Molly M,False,False,False,False,3.5,"Aug 06, 2021",Molly M,/user/id/978827358,RT,978827358,,The Martian
1.5,"Dreadful to watch, this sci-fi piece shouldn't have made it to earth.",Corey B,False,False,False,False,1.5,"Aug 06, 2021",Corey B,/user/id/979100528,RT,979100528,,The Martian
2.0,esta pelicula trata de ser genial y totalmente asombrosa pero su trama compleja la hace aburrida,Juan Manuel L,False,False,False,False,2.0,"Jul 27, 2021",Juan Manuel L,/user/id/979094147,RT,979094147,,The Martian
5.0,"The Martian
An enthralling and rigorously realistic outer-space survival story.

Smart, thrilling, and surprisingly funny, ""The Martian ""offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott. What's so fascinating about the film is that it truly turns on the solving of problems!
   
The story goes by when astronauts blast off from the planet Mars, they leave behind Mark Watney (Matt Damon), presumed dead after a fierce storm. With only a meagre amount of supplies, the stranded visitor must utilise his wits and spirit to find a way to survive on the hostile planet. Meanwhile, back on Earth, members of NASA and a team of international scientists work tirelessly to bring him home, while his crew mates hatch their own plan for a daring rescue mission.

The storytelling techniques work well enough to keep the film engaging. Its a film about human error, the will to survive, and the responsibility that we have as human beings, not just to the work that we dedicate our lives to, but to one another as people. Despite being marketed under the mainstream bait of a ""space movie"". 

The acting and plot are great featuring the best work and the best performance I've ever seen from Matt Damon, and an outstanding supporting cast.

The Martian is an extraordinary tale of Watney's extreme optimism, courage, determination and most importantly, ingenuity. It's more than anything, a love letter to science.",Shambhavi S,False,False,False,False,5.0,"Jul 27, 2021",Shambhavi S,/user/id/979214250,RT,979214250,,The Martian
4.0,Potatoes looked aight,,False,False,False,False,4.0,"Jul 20, 2021",,,Flixster,59165fbd-9147-4ccb-973a-62c7ded9a65e,,The Martian
5.0,"If you can get past the idea that a botanist could be a functional mechanical engineer or data programmer, or just basic functional, it's a great and fun movie. And I get it, the author somehow assumed growing potatoes was the hard part and made them a botanist.",michael l,False,False,False,False,5.0,"Jul 16, 2021",michael l,/user/id/961676107,RT,961676107,,The Martian
5.0,"verdy good movie. I saw in school, verdy goood. I recomend.",Mads K,False,False,False,False,5.0,"Jun 24, 2021",Mads K,/user/id/979173050,RT,979173050,,The Martian
4.5,"The Martian is a genuinely fun movie, and if asked, I'd give it nine out of ten stars. The characters, primarily Matt Damon's Mark Watney, are charming and fun to watch, which honestly makes the whole movie work.

The beginning is strong. Everything on Mars is hectic, until it isn't and Mark Watney is stranded on Mars. The narrative takes time with Watney, the near silence from Watney and tense synth-y score really pulling the audience into Watney's head, almost uncomfortably close. Very intimate. It sets up… not stakes, exactly, but the seriousness of the movie. Later, Watney will joke around accompanied by cheesy 70's music, but in the beginning, the movie grounds itself, letting the more serious moments later also finding their place alongside the sillier ones.

Matt Damon really nails Mark Watney, making him likable with depth in a way that makes me forgive how little character development takes place. With all the talent, gravitas, and charm the other actors bring, the acting is one of the strongest parts of the movie. You can't help but root for Watney to get saved, for his crew to come rescue him, for everything to go right back on Earth. The narrative does them all favors too, because even though you're sure he'll be saved and everything will be alright, all that goes wrong keeps making you wonder, ""What if?"" Even if that's not a question in your mind, it's immensely entertaining to see Watney get from Point A to Point B. The script is clever in this respect, and while I don't know if the science was correct, the movie impresses upon its audience complicated science without making it feel too easy or too difficult to understand. 

The lighthearted moments are definitely one of the biggest draws of the movie. Just as this movie is rooted in serious stakes and dangerous situations, it has little jokes or bright music to uplift it. The movie treads a careful balance without the humor seeming forced or the tenseness dragging everything down. It succeeds, for sure. The suspense feels more real when broken up by those little fun moments, and the little fun moments make the movie all the more watchable. 

Overall, this is an absolute blast of a movie, and I would recommend it if you're into fun sci-fi!",Chris N,False,False,False,False,4.5,"Jun 12, 2021",Chris N,/user/id/979162366,RT,979162366,,The Martian
5.0,I love this movie! Very entertaining and just a lot of fun to watch. Every time it comes on I have to watch it. Great acting in this movie by Matt Damon and is a great lesson for everybody that teaches you to never give up!,Craig P,False,False,False,False,5.0,"Jun 04, 2021",Craig P,/user/id/978414927,RT,978414927,,The Martian
4.0,"It's no Interestellar so don't expect things to make much sense when it comes to the science of things, but surely is great entertainment and a fresh look on the ""space trip gone wrong"" genre",Rogrio A,False,False,False,False,4.0,"May 24, 2021",Rogrio A,/user/id/978676464,RT,978676464,https://graph.facebook.com/v3.3/10214996072567896/picture,The Martian
3.0,"This Matt Damon science fiction film turns into a somewhat dull and clinical affair with a long runtime in combination with a lack of thrills, and an absence of emotional depth by, for example, ignoring the psychological effects of isolation.",Jaap A,False,False,False,False,3.0,"May 18, 2021",Jaap A,/user/id/979136265,RT,979136265,,The Martian
2.0,"The acting, dialogue, pace, plot twists - everything is great in this movie, and I always liked it. But the underlying message of spending colossal resources to save one human being, when millions unnecessarily starve to death here on Earth each year, and countless more millions suffer and die from lack of help - is enormously hypocritical, and at the same time true in it's hypocrisy. And I wonder, if Watney was asked would he want to be saved or donate those resources to the starving instead, what would he have said - whatever it would be, it would be telling.",Azat M,False,False,False,False,2.0,"May 03, 2021",Azat M,/user/id/952719633,RT,952719633,https://graph.facebook.com/v3.3/100004628615970/picture,The Martian
3.5,"The Martian is a good film, not more. It was a really good space movie, but I don't know why, but it's not one of those films where you're passionate during the whole time. It was certainly stressing and the dangerous  situations where logical and perfectly done, but I wasn't absorbed by the film. The costumes and the buildings in space were really pretty even though it may be not representative from the reality. The actors were great especially Matt Damon because it is close to a one man show ""Cast away"" on Mars. The cinematography was great and the musics were good without breaking any walls. The only thing that I know annoyed me was the fact that, as a normal person and not an astrophysicist, I found it a little bit too unrealistic. I am not a professional as I said, but some parts of the movie seemed a bit unreal, but it doesn't change a lot of things because it is a FICTIONARY film. It was a good film , but because of the unrealistic side and the lack of something that I don't know what it is, I won't say it's perfect.",Md T,False,False,False,False,3.5,"Apr 28, 2021",Md T,/user/id/979110234,RT,979110234,,The Martian
5.0,"""The Martian"" is an excellent adaption of its source novel, especially due to its humor, action, and Matt Damon's incredible performance.",Robbie M,False,False,False,False,5.0,"Apr 23, 2021",Robbie M,/user/id/977547119,RT,977547119,,The Martian
5.0,"A hit by Ridley Scott! Outstanding performance by Matt Damon, Jessica Chastain, Kristen Wiig, and Kate Mara, teamed up with Ridley Scott's directing and stunning cinematography makes this film a must see!

I also feel this one was one of my favorite Matt Damon performances, and he portrayed his character perfectly - with a side dish of humor!

All around great flick that could have not been produced any better!

A perfect 10/10 from me!",Harris T,False,False,False,False,5.0,"Apr 18, 2021",Harris T,/user/id/978911781,RT,978911781,,The Martian
5.0,"Hands down an incredible movie. There's nothing I can add that hasn't already been said about Martian regarding how great it is, Recommend to all",Kieran B,False,False,False,False,5.0,"Apr 16, 2021",Kieran B,/user/id/978736762,RT,978736762,https://graph.facebook.com/v3.3/771005762917475/picture,The Martian
4.0,The Martian is a film that I could watch repeatedly non stop. The performance of the cast is exceptional. One of the best in my opinion.,Irish D,False,False,False,False,4.0,"Mar 28, 2021",Irish D,/user/id/969914491,RT,969914491,https://graph.facebook.com/v3.3/100000144881638/picture,The Martian
5.0,"In many ways a perfect movie. The setting is unique and interesting, the premise immediately appealing, and the characters are engaging. The cast is great in general and Matt Damon delivers the performance necessary to spearhead the film. The pacing is great, and the viewer is always entertained.",Lasse L,False,False,False,False,5.0,"Mar 22, 2021",Lasse L,/user/id/979022131,RT,979022131,,The Martian
4.5,This exciting drama/sci fi has many laugh out loud moments. But the best part about the comedy is the fact that it was balanced with high stakes and seriousness. A very creative antagonist only adds to this films greatness.,Aiden N,False,False,False,False,4.5,"Mar 18, 2021",Aiden N,/user/id/979053402,RT,979053402,,The Martian
3.5,The Martian is an exciting film but is sometimes confusing to the viewer. The Martian leaves you entertained for the whole movie. This movie does have some plot holes to it. For example a conflict would happen but then be disregarded. Overall this film in enjoying!,Pace M,False,False,False,False,3.5,"Mar 15, 2021",Pace M,/user/id/979049757,RT,979049757,,The Martian
4.5,"The martian is one of the most, thrilling, intense, and down right great fun. This is truly a classic.",LouisTV R,False,False,False,False,4.5,"Mar 12, 2021",LouisTV R,/user/id/979043863,RT,979043863,,The Martian
5.0,Another masterpiece from Ridley Scott. Surprisingly funny. The cast was great. Donald Glover's performance is especially underrated.,Clyde F,False,False,False,False,5.0,"Mar 08, 2021",Clyde F,/user/id/978986319,RT,978986319,,The Martian
5.0,"An intelligent and entertaining space adventure in which Science is the hero. Matt Damon delivers a strong performance in this thrilling spectacle. It's a tough, survival movie and yet one that depicts a refreshingly optimistic view of the future. It feels like a long movie but the meandering pace worked for me and fit well with story. A must watch.",Justin R,False,False,False,False,5.0,"Mar 07, 2021",Justin R,/user/id/979000867,RT,979000867,,The Martian
3.5,"Solid film about the high-stakes dangers of a near-future manned mission to Mars. The cast and acting are stellar, as is the cinematography. Based on the book by Andy Weir, the film tried to put everything from the book into the film so sometimes it can feel like too much is happening and you can't truly connect deeply with the characters aside from a few emotional moments. Also slipped into a repetitive pattern of problem-solution, new problem-new solution. If you like feel-good sci-fi and can-do, death-winking cheekiness, check this flick out pronto.",Sven T,False,False,False,False,3.5,"Mar 02, 2021",Sven T,/user/id/950827507,RT,950827507,,The Martian
4.0,"2021-3-1 The China part was kinda odd. Maybe they couldn't make  it more reasonable in the movie. So if you eat potatoes only, you're gonna  die in 2 years, but, of course, if you're positive as Mark Watney and had choices, you wouldn't treat your body that way. Would? Mentioned about positiveness and humour, what about a person who was positive and  humorous but suck at relationship?",Lilian L,False,False,False,False,4.0,"Mar 02, 2021",Lilian L,/user/id/805283565,RT,805283565,https://graph.facebook.com/v3.3/586657692/picture,The Martian
5.0,"A rollercoaster ride of excitement, humor and fucking science.",Laura W,False,False,False,True,5.0,"Feb 21, 2021",Laura W,/user/id/979020451,RT,979020451,,The Martian
5.0,"The only space movie I can and will tolerate. Incredible film. Would trust Matt Damon to keep me alive on Mars, 10/10.",hate space m,False,False,False,False,5.0,"Feb 20, 2021",hate space m,/user/id/979018033,RT,979018033,,The Martian
5.0,"Ridley Scott this time has adapted Andy Weir's best-selling novel of the same name. Which detailed a stranded astronaut's story to survive on Mars with the resources he has and botany skills to boot. Scripted by Drew Goddard of The Cabin in the Woods fame and starring Matt Damon in the central role of Mark Watney. All of this has come together to form one of Ridley Scott's best films for some time. Certainly at this point in time, his best film since American Gangster.

The story goes that a space crew is stationed on Mars, there to explore the Acidalia Planitia plain as part of their expedition. A storm rages which prompts them to leave, but not before Mark Watney played by Matt Damon is struck by a piece of a satellite antenna and is presumed dead by the crew. NASA gets wind of this and has a memorial service in his name, believing him to be dead. Sure enough, Watney survives but is in the risk of losing air.

Having managed to make it to to the base, he comes to the realisation that he is alone, with little food and contact with no-one. Therefore using a space log to update his activities, he plans to use his special botany skills and ingenuity to survive. To make contact in the hope that he can somehow escape and reunite with his crew and Earth itself. The film works on several levels. The cast themselves are part of an ensemble and all shine together in this film. From Matt Damon as our lead, a worn-down but cocky and confident individual, who you all root for to make it back home in the long run. To Jessica Chastain as the ship's commander Melissa Lewis, the authoritative and leading figure to her crew and all-out disco music fan. To Chiwetel Ejiofor as NASA's director of space missions who carries the burden on earth to bring Watney back safely. To Jeff Daniels director of NASA who is cautious and decisive to a fault, just to name a few.

 The film manages to be surprisingly funny even during the more sombre and dark moments. By no means is this film a comedy (as the Golden Globes believed it was…) nor is it out of place or sporadic. Which is a credit to Drew Goddard's script who possesses a successful track record of subtly blending drama and comedy together to significant effect. I think it is also a credit to Ridley Scott, who doesn't downplay or fight against the right tone for the film, but more flows with it. Sometimes a script and Scott's vision in the past would conflict disastrously – but here it's lighting in a bottle. The steps Watney takes to survive, whether growing potatoes in a confined space of dirt and faeces by using leftover rocket fuel to produce hydrogen or dismantling equipment and ship parts to make movement viable by the direction of NASA scientists; is fascinating to watch.

Not just because the audience know what's at stake, but the level of humourous insight renders any steps into dreariness; making it an excellent but reflective thrill ride of a film. Just watching the movie blending all those successful elements together marks it as a triumphant rendition of the novel itself and offers surprises along the way. This is undoubtedly a film that isn't there to make a grand, ultimate statement. Nor is it trying to be a deep, experience film like in the vein of 2001: a Space Odyssey or Interstellar but is just only an entertaining, enjoyable survival story. That has its moments of reflection and more than enough time for the audience to spend time with Watney on his journey to survive and also be in the company of a great cast to boot. To the power of the botanist and film director, this is definitely one of his best outings and reaffirms Ridley Scott as one of cinema's greatest storytellers.",Jack M,False,False,False,False,5.0,"Feb 02, 2021",Jack M,/user/id/967658420,RT,967658420,,The Martian
4.5,"Nobody can build suspense quite like Ridley Scott. And he does it again here in one one of his best films. This is an excellent, beautiful movie. Even with the long run-time, it never drags.",Andrew A,False,False,False,False,4.5,"Jan 28, 2021",Andrew A,/user/id/978633365,RT,978633365,,The Martian
5.0,"Loved. Amazing movie! 
The book is better, but still. 
Amazing movie. Loved!",Glauber P,False,False,False,False,5.0,"Jan 27, 2021",Glauber P,/user/id/899583013,RT,899583013,https://graph.facebook.com/v3.3/1385215798155857/picture,The Martian
5.0,"Love this movie, absolutely purely entertaining. Especially when the Matt decides to grow something on Mars. I mean the attitude that Matt is shown to carry is inspiring, love it. Great concept, great work folks! Congratulations!",Vishal K,False,False,False,False,5.0,"Jan 24, 2021",Vishal K,/user/id/978989306,RT,978989306,https://graph.facebook.com/v3.3/4334807833202351/picture,The Martian
4.0,"The Martian is an excellent, good natured science fiction film about man versus the elements. It has a lot of great humour in it and is pretty inspirational in it's best moments.",Ridley T,False,False,False,False,4.0,"Jan 24, 2021",Ridley T,/user/id/936219364,RT,936219364,https://graph.facebook.com/v3.3/100000416639081/picture,The Martian
3.0,"I found Mark Damon's performance to be pretty good. The science sounded fairly convincing, but they said ""the math checks out"" like five times, which made me suspicious that the math did not, in fact, check out. Overall the beginning of the movie is pretty interesting, but it drags on way too long and by the final scene it's a real snoozefest. If it had been 45 minutes shorter it would have been a real winner. Nice seeing Childish Gambino try his hand at acting, he was great.",Chips O,False,False,False,False,3.0,"Jan 19, 2021",Chips O,/user/id/978979118,RT,978979118,,The Martian
4.0,"The Martian is a movie that details the struggles of one man, Mark Watney, as he attempts to survive in the barren wasteland of the martian planet. As Mark Watney struggles to survive, his team copes with the guilt of having left behind Mark under the assumption that he had died due to a sand storm.

Throughout the movie, The Martian holds the audience in suspense as the audience watches Mark struggle to grow food, reclaim water, maintain the habitat structure, and contact earth. The Martian also skillfully depicts the crew's struggles with guilt, and accurately shows their feasible  mission to save him.

Despite the fact that The Martian is a science fiction thriller, the movie accurately depicts the struggles to survive on a barren planet, as well as the technology that martian astronauts would likely have. This degree of realism when depicting Mark Watney's world helps effectively create a sense of tension as Mark struggles to grow food, a sense of the total desolation when viewing the martian planet, and a sense of vastness to accurately show truely how stranded Mark is.

Overall, the Martian is an engaging and realistic science fiction thriller that not only will entertain, but will also engage your curiosity and allow you to fully immerse yourself into the futuristic earth of 2035.",henry a,False,False,False,False,4.0,"Jan 11, 2021",henry a,/user/id/978966815,RT,978966815,,The Martian
4.5,"The Martian is probably one of director Ridley Scott's most entertaining movies. It has a lot of his trademark elements, but mixed with a great sense of humor and a lot of emotional depth, the movie becomes more poignant than any of his other films.",James H,False,False,False,False,4.5,"Jan 06, 2021",James H,/user/id/978864937,RT,978864937,,The Martian
3.0,"This is another movie that I wonder how it got such high ratings. It was ok, but nothing to rave about.",Chris H,False,False,False,False,3.0,"Jan 03, 2021",Chris H,/user/id/977256851,RT,977256851,https://graph.facebook.com/v3.3/1691995327503573/picture,The Martian
1.0,I'm outraged people actually think this was a good movie!,Mariana I,False,False,False,False,1.0,"Dec 26, 2020",Mariana I,/user/id/978943368,RT,978943368,,The Martian
