title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdb_rating,imdb_votes,imdb_id,type,dvd,box_office,production,website,response
Year One,2009,PG-13,19 Jun 2009,97 min,Comedy,Harold Ramis,"Harold Ramis, Gene Stupnitsky, Lee Eisenberg","Jack Black, Michael Cera, Olivia Wilde","After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTQyMTU3NTI3N15BMl5BanBnXkFtZTcwMzkzMjU2Mg@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '4.9/10'}, {'source': 'Rotten Tomatoes', 'value': '14%'}, {'source': 'Metacritic', 'value': '34/100'}]",34,4.9,"97,431",tt1045778,movie,06 Oct 2009,"$43,337,279",N/A,N/A,True
The One,2001,PG-13,02 Nov 2001,87 min,"Action, Sci-Fi, Thriller",James Wong,"Glen Morgan, James Wong","Jet Li, Carla Gugino, Delroy Lindo","A rogue Multiverse agent goes on a manhunt for alternate versions of himself, getting stronger with each kill. Only the last version of himself, an LASD cop, can stop his crusade before he becomes ""The One"".",English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNzY4YmUzMDAtMDYyZS00MTBmLWEzZDAtOGY3MDE2YjJkMGUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.9/10'}, {'source': 'Rotten Tomatoes', 'value': '13%'}, {'source': 'Metacritic', 'value': '25/100'}]",25,5.9,"91,677",tt0267804,movie,05 Mar 2002,"$43,905,746",N/A,N/A,True
Fear Street: Part One - 1994,2021,R,02 Jul 2021,107 min,"Drama, Horror, Mystery",Leigh Janiak,"R.L. Stine, Kyle Killen, Phil Graziadei","Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr.",A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzQzYjIyZDQtMjBhZS00MzU3LTk0MTQtNTVmMDI3ZWY0ZWU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '83%'}, {'source': 'Metacritic', 'value': '67/100'}]",67,6.2,"74,805",tt6566576,movie,02 Jul 2021,N/A,N/A,N/A,True
The Brave One,2007,R,14 Sep 2007,122 min,"Action, Crime, Drama",Neil Jordan,"Roderick Taylor, Bruce A. Taylor, Cynthia Mort","Jodie Foster, Terrence Howard, Naveen Andrews","Struggling to recover emotionally from a brutal assault that killed her fiancé and left her in a coma, a radio personality begins a quest for vengeance against the perpetrators that leaves a bloody trail across New York City.",English,"United States, Australia",1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTA4OTA4Njk4MDdeQTJeQWpwZ15BbWU3MDc0NDY1MzM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '44%'}, {'source': 'Metacritic', 'value': '56/100'}]",56,6.7,"60,873",tt0476964,movie,05 Feb 2008,"$36,793,804",N/A,N/A,True
Tell No One,2006,Not Rated,01 Nov 2006,131 min,"Crime, Drama, Mystery",Guillaume Canet,"Guillaume Canet, Harlan Coben, Philippe Lefebvre","François Cluzet, Marie-Josée Croze, André Dussollier","An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letti...",French,"France, United Kingdom",12 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BMjA1NDcyMzY1Ml5BMl5BanBnXkFtZTcwNjc1MDY3MQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}, {'source': 'Rotten Tomatoes', 'value': '93%'}, {'source': 'Metacritic', 'value': '82/100'}]",82,7.5,"54,314",tt0362225,movie,21 Aug 2007,"$6,177,192",N/A,N/A,True
"Two Days, One Night",2014,PG-13,21 May 2014,95 min,Drama,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne","Marion Cotillard, Fabrizio Rongione, Catherine Salée","Liège, Belgium. Sandra is a factory worker who discovers that her workmates have opted for a EUR1,000 bonus in exchange for her dismissal. She has only a weekend to convince her colleagues to give up their bonuses in order to keep...","French, Arabic, English","Belgium, France, Italy",Nominated for 1 Oscar. 41 wins & 83 nominations total,https://m.media-amazon.com/images/M/MV5BNjEzZmZkN2EtNTkzOS00MmIyLWE3YjktMDdmZTI4NmM5MzBlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}, {'source': 'Rotten Tomatoes', 'value': '97%'}, {'source': 'Metacritic', 'value': '89/100'}]",89,7.3,"47,982",tt2737050,movie,21 Apr 2015,"$1,436,243",N/A,N/A,True
Che: Part One,2008,Not Rated,24 Jan 2009,134 min,"Biography, Drama, History",Steven Soderbergh,"Peter Buchman, Ernesto 'Che' Guevara","Julia Ormond, Benicio Del Toro, Oscar Isaac","In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.","Spanish, English","France, Spain, Mexico",4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BM2JiNjE4YjItNTFhNS00ZmYyLWEwNzctNzJmYzNiYWYzOGM3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}, {'source': 'Rotten Tomatoes', 'value': '68%'}]",N/A,7.1,"46,047",tt0892255,movie,19 Jan 2010,"$748,555",N/A,N/A,True
One Fine Day,1996,PG,20 Dec 1996,108 min,"Comedy, Drama, Romance",Michael Hoffman,"Terrel Seltzer, Ellen Simon","Michelle Pfeiffer, George Clooney, Mae Whitman","The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","English, Spanish",United States,Nominated for 1 Oscar. 4 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNDdhMjgxODQtZjNhNS00YjZiLWFmYTAtODZmM2RhM2M3YmIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '53%'}]",N/A,6.5,"46,044",tt0117247,movie,18 Jan 2000,"$46,151,454",N/A,N/A,True
One for the Money,2012,PG-13,27 Jan 2012,91 min,"Action, Comedy, Crime",Julie Anne Robinson,"Stacy Sherman, Karen Ray, Liz Brixius","Katherine Heigl, Jason O'Mara, Daniel Sunjata","Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTU2NzMxMDU1NF5BMl5BanBnXkFtZTcwNzYxNTA2Ng@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}, {'source': 'Rotten Tomatoes', 'value': '2%'}, {'source': 'Metacritic', 'value': '22/100'}]",22,5.3,"42,428",tt1598828,movie,15 May 2012,"$26,414,527",N/A,N/A,True
Ra.One,2011,Not Rated,26 Oct 2011,156 min,"Action, Adventure, Sci-Fi",Anubhav Sinha,"David Benullo, Kanika Dhillon, Niranjan Iyengar","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.","Tamil, Hindi","India, United States",17 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTNkNmVmOTItNzlmNi00MjE5LWE2YzEtNzBlOTNiNmE0OTUzXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '4.7/10'}, {'source': 'Rotten Tomatoes', 'value': '60%'}, {'source': 'Metacritic', 'value': '60/100'}]",60,4.7,"40,898",tt1562871,movie,30 Nov 2016,"$2,511,689",N/A,N/A,True
The One I Love,2014,R,08 Aug 2014,91 min,"Comedy, Drama, Fantasy",Charlie McDowell,Justin Lader,"Mark Duplass, Elisabeth Moss, Ted Danson","A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTgzODMyMjcyOV5BMl5BanBnXkFtZTgwMTAyMjMyMjE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '82%'}, {'source': 'Metacritic', 'value': '66/100'}]",66,7.0,"39,398",tt2756032,movie,04 Nov 2014,"$513,447",N/A,N/A,True
One Missed Call,2008,PG-13,04 Jan 2008,87 min,"Horror, Mystery",Eric Valette,"Andrew Klavan, Yasushi Akimoto, Minako Daira","Edward Burns, Shannyn Sossamon, Ana Claudia Talancón","Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.",English,"United States, Japan, Germany, United Kingdom",2 nominations,https://m.media-amazon.com/images/M/MV5BMjA2NTk0OTcyMV5BMl5BanBnXkFtZTcwMzk1MDU1MQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '4.0/10'}, {'source': 'Rotten Tomatoes', 'value': '0%'}, {'source': 'Metacritic', 'value': '24/100'}]",24,4.0,"32,227",tt0479968,movie,22 Apr 2008,"$26,890,041",N/A,N/A,True
Batman: Year One,2011,PG-13,18 Oct 2011,64 min,"Animation, Action, Crime, Drama, Thriller","Sam Liu, Lauren Montgomery","Bob Kane (Batman created by), Tab Murphy, Frank Miller (graphic novel), David Mazzucchelli (graphic novel), Richmond Lewis (graphic novel)","Bryan Cranston, Ben McKenzie, Eliza Dushku, Jon Polito",A wealthy playboy and a Chicago cop both return to Gotham City where their lives will intersect in unexpected ways.,"English, French, Spanish",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNTJjMmVkZjctNjNjMS00ZmI2LTlmYWEtOWNiYmQxYjY0YWVhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.4/10'}, {'source': 'Rotten Tomatoes', 'value': '88%'}]",N/A,7.4,"32,117",tt1672723,movie,18 Oct 2011,N/A,N/A,N/A,True
One Night in Miami...,2020,R,08 Jan 2021,114 min,Drama,Regina King,Kemp Powers,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge","A fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.","English, Arabic",United States,Nominated for 3 Oscars. 67 wins & 181 nominations total,https://m.media-amazon.com/images/M/MV5BYmJlYWQ0NWMtMzU5Ni00MDNhLTk2YmUtYWYzZTJhMDMxMzE0XkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}, {'source': 'Rotten Tomatoes', 'value': '98%'}, {'source': 'Metacritic', 'value': '83/100'}]",83,7.1,"31,339",tt10612922,movie,15 Jan 2021,N/A,N/A,N/A,True
One Night at McCool's,2001,R,27 Apr 2001,93 min,"Comedy, Crime",Harald Zwart,Stan Seidel,"Liv Tyler, Matt Dillon, Mary Jo Smith",Every man has a different recollection of the beautiful young woman who wreaked havoc on their lives during one heated night.,"English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BZmE1OTg1ZmItNGMyOC00MzA5LTgyMWEtYmE0MzcwNjE3Y2MwXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '33%'}, {'source': 'Metacritic', 'value': '46/100'}]",46,6.2,"30,520",tt0203755,movie,05 Nov 2002,"$6,290,673",N/A,N/A,True
The Taking of Pelham One Two Three,1974,R,14 Nov 1974,104 min,"Action, Crime, Thriller",Joseph Sargent,"John Godey, Peter Stone","Walter Matthau, Robert Shaw, Martin Balsam","Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?","English, Spanish",United States,Nominated for 2 BAFTA 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1NDY0NDk3Ml5BMl5BanBnXkFtZTcwMTAzMTM3NA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}, {'source': 'Rotten Tomatoes', 'value': '100%'}, {'source': 'Metacritic', 'value': '68/100'}]",68,7.6,"30,311",tt0072251,movie,29 Feb 2000,N/A,N/A,N/A,True
One Direction: This Is Us,2013,PG,30 Aug 2013,92 min,"Documentary, Music",Morgan Spurlock,N/A,"Liam Payne, Harry Styles, Zayn Malik","A look at Niall, Zayn, Liam, Louis, and Harry's meteoric rise to fame, from their humble hometown beginnings and competing on the X-Factor, to conquering the world and performing at London's famed O2 Arena.","English, Portuguese","United States, United Kingdom",1 nomination,https://m.media-amazon.com/images/M/MV5BMTk5NTIxNzg3Nl5BMl5BanBnXkFtZTcwMzc5MDE0OQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '4.1/10'}, {'source': 'Rotten Tomatoes', 'value': '63%'}, {'source': 'Metacritic', 'value': '49/100'}]",49,4.1,"24,334",tt2515086,movie,17 Dec 2013,"$28,873,374",N/A,N/A,True
Yi Yi: A One and a Two...,2000,Not Rated,16 Dec 2000,173 min,"Drama, Romance",Edward Yang,Edward Yang,"Nien-Jen Wu, Elaine Jin, Issei Ogata",Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.,"Mandarin, Min Nan, Hokkien, English, Japanese, French","Taiwan, Japan",15 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BYTA4YzkxZDMtMGZhMi00NGQ2LWFjNTQtNTYzYjY1ODg5YjRlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.1/10'}, {'source': 'Metacritic', 'value': '93/100'}]",93,8.1,"23,982",tt0244316,movie,12 Jun 2007,"$1,136,776",N/A,N/A,True
One Eight Seven,1997,R,30 Jul 1997,119 min,"Drama, Thriller",Kevin Reynolds,Scott Yagemann,"Samuel L. Jackson, John Heard, Kelly Rowan","15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim anymore.","English, Spanish",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYTc1MTUxNmYtY2I3My00MmNkLWI3NmUtMDc1YWNhMzBiMDQzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.6/10'}, {'source': 'Rotten Tomatoes', 'value': '30%'}, {'source': 'Metacritic', 'value': '41/100'}]",41,6.6,"23,671",tt0118531,movie,10 Aug 2010,"$5,727,130",N/A,N/A,True
Department Q: The Absent One,2014,Not Rated,17 Jun 2016,119 min,"Crime, Drama, Mystery",Mikkel Nørgaard,"Nikolaj Arcel, Rasmus Heisterberg, Jussi Adler-Olsen","Nikolaj Lie Kaas, Fares Fares, Pilou Asbæk","The murder of young twins initially implicates a group of upper class students as the killers, though the case takes a turn or two from its starting point.","Danish, English, French","Denmark, Germany, Sweden",3 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTUwMTI0NDcxMF5BMl5BanBnXkFtZTgwNDAxNTI4MjE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}, {'source': 'Rotten Tomatoes', 'value': '92%'}, {'source': 'Metacritic', 'value': '61/100'}]",61,7.1,"23,393",tt3140100,movie,10 Dec 2016,N/A,N/A,N/A,True
One Cut of the Dead,2017,Not Rated,24 Sep 2019,96 min,"Comedy, Drama, Horror",Shin'ichirô Ueda,"Shin'ichirô Ueda, Ryoichi Wada","Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama","Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies.",Japanese,Japan,27 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BY2RhNTVhMTEtMzgyNi00NDg1LWIwYjktOTcxNDQyM2ZjNDE1XkEyXkFqcGdeQXVyMTY1NzY2NA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}, {'source': 'Rotten Tomatoes', 'value': '100%'}, {'source': 'Metacritic', 'value': '86/100'}]",86,7.6,"23,200",tt7914416,movie,08 Dec 2019,"$52,406",N/A,N/A,True
Capricorn One,1977,PG,02 Jun 1978,123 min,"Action, Adventure, Drama",Peter Hyams,Peter Hyams,"Elliott Gould, James Brolin, Brenda Vaccaro","When the first manned flight to Mars is deemed unsafe and scrubbed on the launch pad, anxious authorities must scramble to save face and retain their funding - and so an unthinkable plot to fake the mission is hatched.",English,"United States, United Kingdom",5 nominations,https://m.media-amazon.com/images/M/MV5BNGVlOTk2NGItMDBmYS00M2I0LWI2ZDYtYjRmNDQ5NDE0NmY4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Rotten Tomatoes', 'value': '62%'}, {'source': 'Metacritic', 'value': '38/100'}]",38,6.8,"22,532",tt0077294,movie,17 Feb 1998,N/A,N/A,N/A,True
No One Lives,2012,R,10 May 2013,86 min,"Horror, Thriller",Ryûhei Kitamura,David Cohen,"Luke Evans, Gary Grubbs, Adelaide Clemens",A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.,English,"United States, United Kingdom",1 nomination,https://m.media-amazon.com/images/M/MV5BMjMzMzI0OTgwM15BMl5BanBnXkFtZTgwMzU5ODQxMDE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.9/10'}, {'source': 'Rotten Tomatoes', 'value': '48%'}, {'source': 'Metacritic', 'value': '26/100'}]",26,5.9,"21,076",tt1763264,movie,20 Aug 2013,"$74,918",N/A,N/A,True
"One, Two, Three",1961,Not Rated,16 Dec 1961,104 min,Comedy,Billy Wilder,"Billy Wilder, I.A.L. Diamond, Ferenc Molnár","James Cagney, Horst Buchholz, Pamela Tiffin","In West Berlin during the Cold War, a Coca-Cola executive is given the task of taking care of his boss' socialite daughter.","English, German, Russian",United States,Nominated for 1 Oscar. 1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMWQ4ZDRiMDgtZjk4Ny00MDIyLTkwZTUtZjkzZDc4MzM4Njc5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.9/10'}, {'source': 'Rotten Tomatoes', 'value': '91%'}, {'source': 'Metacritic', 'value': '73/100'}]",73,7.9,"21,070",tt0055256,movie,30 May 2017,N/A,N/A,N/A,True
