title,first_genre,cleaned_plot,imdb_rating
The Taking of Pelham One Two Three,action,"['four', 'armed', 'men', 'hijack', 'new', 'york', 'city', 'subway', 'car', 'demand', 'ransom', 'passengers', 'citys', 'police', 'faced', 'conundrum', 'even', 'paid', 'could', 'get', 'away']",7.6
One Direction: This Is Us,documentary,"['look', 'niall', 'zayn', 'liam', 'louis', 'harrys', 'meteoric', 'rise', 'fame', 'humble', 'hometown', 'beginnings', 'competing', 'xfactor', 'conquering', 'world', 'performing', 'londons', 'famed', 'o2', 'arena']",4.1
Yi Yi: A One and a Two...,drama,"['member', 'middleclass', 'taipei', 'family', 'seeks', 'reconcile', 'past', 'present', 'relationships', 'within', 'daily', 'lives']",8.1
One Eight Seven,drama,"['15', 'months', 'stabbed', '9', 'times', 'student', 'work', 'high', 'school', 'teacher', 'nyc', 'mr', 'garfield', 'working', 'la', 'substitute', 'teacher', 'come', 'fulltime', 'refuses', 'victim', 'anymore']",6.6
One Cut of the Dead,comedy,"['things', 'go', 'badly', 'hack', 'director', 'film', 'crew', 'shooting', 'low', 'budget', 'zombie', 'movie', 'abandoned', 'wwii', 'japanese', 'facility', 'attacked', 'real', 'zombies']",7.6
Capricorn One,action,"['first', 'manned', 'flight', 'mars', 'deemed', 'unsafe', 'scrubbed', 'launch', 'pad', 'anxious', 'authorities', 'must', 'scramble', 'save', 'face', 'retain', 'funding', 'unthinkable', 'plot', 'fake', 'mission', 'hatched']",6.8
"One, Two, Three",comedy,"['west', 'berlin', 'cold', 'war', 'cocacola', 'executive', 'given', 'task', 'taking', 'care', 'boss', 'socialite', 'daughter']",7.9
The Big Red One,drama,"['hardened', 'sergeant', 'four', 'core', 'members', 'infantry', 'unit', 'try', 'survive', 'world', 'war', 'ii', 'move', 'battle', 'battle', 'throughout', 'europe']",7.1
Sharknado 2: The Second One,action,"['fin', 'april', 'way', 'new', 'york', 'city', 'category', 'seven', 'hurricane', 'spawns', 'heavy', 'rain', 'storm', 'surges', 'deadly', 'sharknadoes']",4.0
She's the One,comedy,"['love', 'lives', 'two', 'brothers', 'mickey', 'francis', 'interconnect', 'francis', 'cheats', 'wife', 'mickeys', 'exgirlfriend', 'mickey', 'impulsively', 'marries', 'stranger']",6.0
The Son of No One,action,"['young', 'cop', 'assigned', 'precinct', 'working', 'class', 'neighborhood', 'grew', 'old', 'secret', 'threatens', 'destroy', 'life', 'family']",5.1
One Man Band,animation,"['two', 'buskers', 'engage', 'petty', 'feud', 'childs', 'donation']",7.7
The Man with One Red Shoe,comedy,"['man', 'picked', 'randomly', 'crowd', 'made', 'target', 'cia', 'survelliance', 'pursuit']",5.7
Just One of the Guys,comedy,"['terry', 'feels', 'discriminated', 'summer', 'jobs', 'sun', 'tribune', 'go', 'two', 'guys', 'decides', 'something', 'dresses', 'like', 'guy', 'gets', 'haircut', 'students', 'high', 'school', 'notice', 'girls', 'notice']",6.4
One Crazy Summer,comedy,"['aspiring', 'teenage', 'cartoonist', 'friends', 'come', 'aid', 'singer', 'trying', 'save', 'family', 'property', 'developers']",6.3
"Batman: The Long Halloween, Part One",animation,"['batman', 'investigates', 'murder', 'spree', 'takes', 'place', 'holidays']",7.2
No One Gets Out Alive,drama,"['immigrant', 'search', 'american', 'dream', 'forced', 'take', 'room', 'boarding', 'house', 'finds', 'nightmare', 'cant', 'escape']",5.3
One True Thing,drama,"['career', 'woman', 'reassesses', 'parents', 'lives', 'forced', 'care', 'cancerstricken', 'mother']",7.0
One-Eyed Jacks,drama,"['robbing', 'mexican', 'bank', 'dad', 'longworth', 'takes', 'loot', 'leaves', 'partner', 'rio', 'captured', 'rio', 'escapes', 'searches', 'dad', 'california']",7.1
Thirteen Conversations About One Thing,drama,"['new', 'york', 'city', 'lives', 'lawyer', 'actuary', 'housecleaner', 'professor', 'people', 'around', 'intersect', 'ponder', 'order', 'happiness', 'face', 'lifes', 'cold', 'unpredictability']",7.0
Marco Polo: One Hundred Eyes,action,"['lost', 'sight', 'pledged', 'service', 'kublai', 'khan', 'hundred', 'eyes', 'saw', 'made', 'deadly', 'assassin', 'trains', 'marco', 'polo']",7.8
Plus One,comedy,"['order', 'survive', 'summer', 'wedding', 'fever', 'longtime', 'single', 'friends', 'ben', 'alice', 'agree', 'others', 'plus', 'one', 'every', 'wedding', 'theyve', 'invited']",6.6
The Power of One,drama,"['english', 'boy', 'living', 'africa', 'world', 'war', 'ii', 'boxing', 'prowess', 'becomes', 'symbol', 'hope', 'time', 'war']",7.1
Song One,drama,"['young', 'woman', 'strikes', 'relationship', 'ailing', 'brothers', 'favorite', 'musician']",5.8
The Pretty One,comedy,"['tragedy', 'presents', 'laurel', 'chance', 'reinvent', 'idolized', 'twin', 'sister', 'audrey', 'eases', 'life', 'always', 'wanted', 'must', 'decide', 'continuing', 'lie', 'revealing', 'perfect', 'fr']",6.3
One Wild Moment,comedy,"['two', 'friends', 'bring', 'daughters', 'beach', 'vacation', 'find', 'awkward', 'situation', 'remake', '1977', 'film', 'un', 'moment', 'dégarement']",6.2
Not One Less,drama,"['remote', 'mountain', 'village', 'teacher', 'must', 'leave', 'month', 'mayor', 'find', '13year', 'old', 'girl', 'wei', 'minzhi', 'substitute', 'teacher', 'leaves', 'one', 'stick', 'chalk', 'day', 'promises', 'extra', '10', 'yuan']",7.7
The Tall Blond Man with One Black Shoe,comedy,"['hapless', 'orchestra', 'player', 'becomes', 'unwitting', 'pawn', 'rival', 'factions', 'within', 'french', 'secret', 'service', 'chosen', 'decoy', 'identified', 'super', 'secret', 'agent']",7.2
The Big One,documentary,"['book', 'tour', 'michael', 'moore', 'exposes', 'wrongdoing', 'greedy', 'big', 'businesses', 'callous', 'politicians', 'around', 'america']",7.1
No One Knows About Persian Cats,drama,"['iranian', 'musicians', 'negar', 'ashkan', 'look', 'band', 'members', 'play', 'london', 'concert', 'visas', 'allow', 'leave', 'tehran']",7.1
A Chinese Odyssey: Part One - Pandora's Box,action,"['monkey', 'king', 'reincarnated', 'un', 'human', 'form', 'joker', 'highwayman', 'oblivious', 'original', 'identity', 'fact', '500', 'years', 'earlier', 'master', 'longevity', 'monk', 'punished', 'made', 'stay', 'human']",7.6
One Piece Film Z,animation,"['former', 'marine', 'stands', 'way', 'straw', 'hat', 'pirates']",7.8
One Night Stand,drama,"['maxwsnipes', 'one', 'night', 'stand', 'karennkinski', 'nyc', 'returns', 'wife', '2', 'kids', 'career', 'la', 'affected', 'year', 'later', 'max', 'karen', 'meet', 'chance', 'time', 'theyre', 'spouses']",5.8
The Honest One,comedy,"['incorruptible', 'government', 'pay', 'clerk', 'isnt', 'taken', 'seriously', 'anyone', 'including', 'family', 'get', 'robbed', 'carrying', 'huge', 'amount', 'work', 'money', 'becomes', 'popular', 'people', 'believe', 'faked', 'robbery', 'kept']",8.1
One of Us,documentary,"['penetrating', 'insular', 'world', 'new', 'yorks', 'hasidic', 'community', 'focusing', 'three', 'individuals', 'driven', 'break', 'away', 'despite', 'threats', 'retaliation']",7.0
One from the Heart,drama,"['couple', 'fight', 'living', 'together', '5', 'years', 'las', 'vegas', 'go', 'celebrate', '4th', 'july', 'new', 'partner', 'breakup']",6.4
One Child Nation,documentary,"['becoming', 'mother', 'filmmaker', 'uncovers', 'untold', 'history', 'chinas', 'onechild', 'policy', 'generations', 'parents', 'children', 'forever', 'shaped', 'social', 'experiment']",7.5
One Day in September,documentary,"['palestinian', 'terrorist', 'group', 'black', 'september', 'holds', 'israeli', 'athletes', 'hostage', '1972', 'summer', 'olympic', 'games', 'munich']",7.8
Freaks: You're One of Us,action,"['tipped', 'mysterious', 'tramp', 'meek', 'fry', 'cook', 'discovers', 'superpowers', 'uncovers', 'unsavory', 'vast', 'conspiracy']",5.4
One Point O,drama,"['receiving', 'mysterious', 'empty', 'packages', 'inside', 'apartment', 'young', 'computerprogrammer', 'begins', 'personal', 'investigation', 'origins']",6.0
Freaks: You're One of Us,action,"['tipped', 'mysterious', 'tramp', 'meek', 'fry', 'cook', 'discovers', 'superpowers', 'uncovers', 'unsavory', 'vast', 'conspiracy']",5.4
One Froggy Evening,animation,"['man', 'futilely', 'struggles', 'make', 'fortune', 'frog', 'sings', 'dances', 'alone', 'owner']",8.4
One Piece: Stampede,animation,"['pirates', 'around', 'world', 'gather', 'pirates', 'expo', 'join', 'hunt', 'gol', 'rogers', 'lost', 'treasure']",7.5
One Piece: Strong World,animation,"['straw', 'hat', 'pirates', 'must', 'save', 'navigator', 'stop', 'legendary', 'pirate', 'shiki', 'golden', 'lion', 'conquering', 'east', 'blue']",7.5
Army of One,action,"['hiking', 'special', 'forces', 'brenner', 'baker', 'stumbles', 'onto', 'cartels', 'compound', 'husbands', 'killed', 'shes', 'left', 'dead', 'cartel', 'made', 'two', 'mistakes', 'killing', 'husband', 'leaving', 'alive', 'wont', 'live', 'make', 'another']",4.7
One 2 Ka 4,action,"['cops', 'partner', 'killed', 'line', 'duty', 'assumed', 'guardianship', 'orphaned', 'children', 'investigating', 'murder']",5.4
One Small Hitch,comedy,"['joshs', 'girlfriend', 'wants', 'get', 'married', 'mollys', 'boyfriend', 'married', 'josh', 'molly', 'fly', 'together', 'wedding', 'chicago', 'pretending', 'engaged', 'make', 'parents', 'happy', 'comedy', 'follows', 'romance']",6.5
One Piece Film: Gold,animation,"['straw', 'hat', 'pirates', 'come', 'gran', 'tesoro', 'richest', 'ship', 'world']",7.1
One-Way to Tomorrow,comedy,"['romantic', 'story', 'two', 'strangers', 'come', 'across', 'journey', 'ankara', 'izmir']",5.6
Olympia Part One: Festival of the Nations,documentary,"['document', '1936', 'olympics', 'berlin']",7.8
One More Time with Feeling,documentary,"['explores', 'creative', 'process', 'nick', 'cave', 'band', 'singer', 'struggles', 'unspoken', 'personal', 'tragedy']",8.2
One in the Chamber,action,"['assassin', 'plays', 'sides', 'russian', 'gang', 'war', 'becomes', 'target', 'unknown', 'enemy']",5.1
Living on One Dollar,documentary,"['four', 'young', 'friends', 'set', 'live', '1', 'day', 'two', 'months', 'rural', 'guatemala', 'armed', 'video', 'camera', 'battle', 'hunger', 'parasites', 'extreme', 'financial', 'stress', 'attempt', 'survive', 'life', 'edge']",7.3
The One and Only,comedy,"['handyman', 'niller', 'comes', 'install', 'sus', 'new', 'kitchen', 'one', 'day', 'immediate', 'crush', 'sweet', 'escape', 'problematic', 'relationships']",6.9
One Deadly Summer,drama,"['young', 'woman', 'oozes', 'sensuality', 'arrives', 'small', 'town', 'marries', 'local', 'mechanic', 'love', 'first', 'sight', 'links', 'enigmatic', 'presence', 'familys', 'piano', 'curiosity', 'something', 'far', 'sinister']",7.3
The Cheetah Girls: One World,comedy,"['girl', 'group', 'travel', 'india', 'star', 'bollywood', 'movie', 'end', 'competing', 'part']",4.5
Trust No One: The Hunt for the Crypto King,documentary,"['group', 'investors', 'turned', 'sleuths', 'try', 'unlock', 'suspicious', 'death', 'cryptocurrency', 'multimillionaire', 'gerry', 'cotten', 'missing', '250', 'million', 'believe', 'stole']",6.3
Danger One,action,"['transporting', 'dying', 'man', 'hospital', 'two', 'paramedics', 'find', 'million', 'dollars', 'cash', 'sewn', 'clothing', 'man', 'dies', 'decide', 'keep', 'setting', 'path', 'hellish', 'night', 'violence', 'mayhem']",6.1
One Good Cop,action,"['nypd', 'detective', 'michael', 'keaton', 'struggle', 'justice', 'taking', 'care', 'late', 'partners', 'three', 'little', 'girls', 'killed', 'line', 'duty']",5.8
One Last Thing...,comedy,"['young', 'man', 'terminal', 'illness', 'makes', 'unconventional', 'request', 'local', 'television']",6.5
Two Hearts as One,drama,"['look', 'inside', 'story', 'two', 'newlyweds', 'parted', 'spend', 'next', 'halfcentury', 'lives', 'trying', 'reunite']",7.4
A Force of One,action,"['detectives', 'undercover', 'police', 'unit', 'mysteriously', 'killed', 'martial', 'artist', 'professional', 'kickboxer', 'hired', 'assist']",5.0
There's Only One Jimmy Grimble,comedy,"['jimmy', 'grimble', 'shy', 'manchester', 'school', 'boy', 'however', 'football', 'special', 'boots', 'manages', 'gain', 'confidence', 'succeed']",6.6
One Way Passage,comedy,"['terminally', 'ill', 'woman', 'debonair', 'murderer', 'facing', 'execution', 'meet', 'fall', 'love', 'transpacific', 'crossing', 'without', 'knowing', 'others', 'secret']",7.5
One Shot,action,"['elite', 'squad', 'navy', 'seals', 'covert', 'mission', 'transport', 'prisoner', 'cia', 'black', 'site', 'island', 'prison', 'trapped', 'insurgents', 'attack', 'trying', 'rescue', 'prisoner']",5.6
The Loved One,comedy,"['satire', 'funeral', 'business', 'young', 'british', 'poet', 'goes', 'work', 'hollywood', 'cemetery']",7.0
If You Are the One,comedy,"['making', 'killing', 'fen', 'returns', 'china', 'rich', 'man', 'seeking', 'wife', 'internet', 'meets', 'many', 'women', 'likes', 'air', 'hostess', 'liangshu', 'qi', 'whos', 'love', 'married', 'man', 'wants', 'friendship']",6.8
One Day: Justice Delivered,action,"['crime', 'branch', 'special', 'officer', 'investigates', 'serial', 'disappearance', 'high', 'profile', 'individuals', 'state', 'capital']",5.0
Page One: Inside the New York Times,documentary,"['unprecedented', 'access', 'new', 'york', 'times', 'newsroom', 'yields', 'complex', 'view', 'transformation', 'media', 'landscape', 'fraught', 'peril', 'opportunity']",6.9
One A.M.,comedy,"['drunken', 'homeowner', 'difficult', 'time', 'getting', 'home', 'arriving', 'home', 'late', 'night']",7.1
Hole in One,comedy,"['eric', 'gifted', 'golfer', 'college', 'finds', 'world', 'turned', 'upside', 'loses', 'bet', 'sadistic', 'plastic', 'surgeon', 'badboy', 'lifestyle', 'comes', 'crashing', 'halt', 'fight', 'rebuild', 'life']",2.9
One Wonderful Sunday,drama,"['sunday', 'trip', 'warravaged', 'tokyo', 'despairing', 'yuzo', 'optimistic', 'masako', 'look', 'work', 'lodging', 'well', 'affordable', 'entertainments', 'pass', 'time']",7.2
The One-Armed Swordsman,action,"['noble', 'swordsman', 'whose', 'arm', 'chopped', 'returns', 'former', 'teacher', 'defend', 'villainous', 'gang', 'rival', 'swordsmen']",7.3
One More Time,comedy,"['new', 'york', 'city', 'crooner', 'plots', 'comeback']",4.9
The Blonde One,drama,"['suburbs', 'buenos', 'aires', 'gabriel', 'moved', 'colleague', 'juan', 'shy', 'reserved', 'gabo', 'reluctant', 'follow', 'juans', 'wandering', 'hands', 'meaningful', 'looks']",7.3
One Piece: The Movie,animation,"['pirate', 'known', 'great', 'gold', 'pirate', 'woonan', 'obtained', 'almost', '13', 'worlds', 'gold', 'course', 'years', 'pirates', 'existence', 'faded', 'legend', 'grew', 'disappeared', 'gold', 'rem']",6.6
One Small Story,comedy,"['santhosh', 'youth', 'struggling', 'micro', 'penis', 'syndrome', 'marries', 'amrutha', 'unavoidable', 'situation', 'continues', 'postpone', 'first', 'night', 'nuptials', 'comes', 'across', 'godwoman', 'herbal', 'medicine', 'address']",7.0
One Step Behind the Seraphim,drama,"['group', 'freshmen', 'orthodox', 'college', 'introduced', 'world', 'cons', 'pleasure', 'money', 'soon', 'discover', 'thats', 'way', 'ones', 'life', 'lead']",8.2
Tell No One,documentary,"['documentary', 'follows', 'true', 'elaborate', 'depiction', 'pedophilia', 'polish', 'catholic', 'church']",8.3
Earth: One Amazing Day,documentary,"['bbc', 'earth', 'films', 'studio', 'brought', 'earth', 'comes', 'sequel', 'earth', 'one', 'amazing', 'day', 'astonishing', 'journey', 'revealing', 'awesome', 'power', 'natural', 'world', 'course', 'one', 'single', 'day', 'track', 'sun']",7.8
When One Falls in Love,comedy,"['playboys', 'past', 'catches', 'wants', 'get', 'married']",5.9
The Young One,drama,"['jazz', 'musician', 'seeks', 'refuge', 'lynch', 'mob', 'remote', 'island', 'meets', 'hostile', 'game', 'warden', 'young', 'object', 'attentions']",7.4
One,drama,"['story', 'kadakkal', 'chandran', 'chief', 'minister', 'kerala', 'whose', 'uncompromising', 'attitude', 'towards', 'corruption', 'dictatorial', 'actions', 'gained', 'lot', 'enemies', 'events', 'gets', 'intense', 'faces', 'allegation']",6.2
One Small Step,animation,"['taiko', 'studios', 'presents', 'story', 'luna', 'chinese', 'american', 'girl', 'dreams', 'becoming', 'astronaut']",7.4
One Two Three,comedy,"['three', 'strangers', 'name', 'laxminarayan', 'travel', 'pondi', 'tasks', 'chaos', 'ensues', 'mistaken', 'stay', 'hotel']",5.3
All for One,comedy,"['four', 'childhood', 'friends', 'three', 'petty', 'criminals', 'martin', 'jon', 'lange', 'petty', 'cop', 'trying', 'bring', 'big', 'time', 'drug', 'smuggler', 'mr', 'niemeyer', 'rutger', 'hauer', 'art', 'gallery', 'front']",5.6
One Life,documentary,"['focuses', 'cyclical', 'journey', 'taken', 'living', 'creatures', 'birth', 'youngsters']",7.9
The Chosen One,comedy,"['man', 'finally', 'finds', 'faith', 'rest', 'world', 'puts', 'faith', 'sole', 'earth', 'save', 'mankind', 'destruction', 'chosen', 'one']",4.5
One Must Fall,comedy,"['horrorcomedy', 'slasher', 'set', '80s', 'woman', 'wrongfully', 'fired', 'office', 'job', 'forced', 'take', 'temporary', 'job', 'crime', 'scene', 'cleanup', 'crew', 'maniacal', 'serial', 'killer', 'loose', 'leaving', 'lots', 'work']",4.2
One Hour with You,comedy,"['unhappily', 'married', 'couple', 'try', 'come', 'happy', 'one']",7.1
One Winter Night,drama,"['orthodox', 'jewish', 'mother', 'daughters', 'fall', 'prey', 'malevolent', 'forces', 'preside', 'rural', 'community']",3.9
One-Eyed Monster,comedy,"['hostile', 'alien', 'wreaks', 'havoc', 'cast', 'crew', 'adult', 'movie']",4.1
One Eyed Girl,drama,"['young', 'psychiatrist', 'haunted', 'suicide', 'patient', 'hovers', 'verge', 'breakdown', 'meets', 'attractive', 'representative', 'secret', 'church', 'promises', 'salvation', 'members']",6.3
Father There Is Only One,comedy,"['family', 'father', 'discovers', 'hard', 'care', 'five', 'children', 'wife', 'leaves', 'alone', 'week', 'holidays']",6.0
Room for One More,comedy,"['new', 'jersey', 'couple', 'anna', 'poppy', 'rose', 'become', 'foster', 'parents', 'several', 'kids', 'born', 'less', 'fortunate', 'circumstances', 'including', 'desperately', 'unhappy', '13yearold', 'girl', 'physically', 'handicapped', 'boy', 'penchant', 'getting']",7.2
One Day,drama,"['story', 'worker', 'called', 'denchai', 'doesnt', 'get', 'along', 'coworkers', 'wellhe', 'falls', 'love', 'one', 'coworker', 'thought', 'different', 'others', 'called', 'noui', 'apparently', 'person', 'adulter']",7.7
One Direction: Where We Are - The Concert Film,documentary,"['x', 'factor', 'san', 'siro', 'stadium', 'milano', 'one', 'direction', 'hit', 'world', 'success', 'see', 'perform', 'live', 'san', 'siro', 'stadium', 'watch', '15', 'minutes', 'exclusive', 'footage', 'never', 'seen', 'boys', 'back']",6.7
One Song a Day Takes Mischief Away,comedy,"['story', 'seen', 'eyes', '6', 'year', 'old', 'perica', 'safranek', 'family', 'picnic', 'pericas', 'mother', 'starts', 'flirting', 'mr', 'fulir', 'zagreb', 'dandy', 'father', 'first', 'doesnt', 'notice', 'wants', 'marry', 'aunt', 'co']",8.5
Chelsea Peretti: One of the Greats,comedy,"['writeractresscomedienne', 'chelsea', 'peretti', 'presents', 'reimagining', 'hourlong', 'special']",6.9
Ghost Team One,comedy,"['two', 'roommates', 'deathly', 'afraid', 'ghosts', 'fall', 'love', 'girl', 'believes', 'home', 'haunted']",4.3
One of Our Aircraft Is Missing,action,"['raid', 'germany', 'british', 'bomber', 'crew', 'forced', 'bail', 'plane', 'damaged', 'land', 'holland', 'aided', 'dutch', 'civilians']",7.0
Arabian Nights: Volume 1 - The Restless One,drama,"['chapters', 'arabian', 'nights', 'adapted', 'modern', 'portugal', 'epic']",6.9
One Starry Christmas,comedy,"['journeying', 'bus', 'surprise', 'boyfriend', 'christmas', 'holly', 'meets', 'charming', 'cowboy', 'accompanies']",6.5
One Piece: Clockwork Island Adventure,animation,"['relaxing', 'cozy', 'beach', 'straw', 'hat', 'pirates', 'taking', 'rest', 'quest', 'right', 'luffy', 'noticed', 'going', 'merry', 'hijacked', 'sailed', 'beach', 'leads', 'search', 'ship', 'find', 'thief', 'w']",6.8
One Night in Bangkok,action,"['hit', 'man', 'named', 'kai', 'mark', 'dacascos', 'flies', 'bangkok', 'gets', 'gun', 'orders', 'cab', 'offers', 'professional', 'female', 'driver', 'big', 'money', 'allnight', 'driver', 'realizes', 'kai', 'committing', 'brutal', 'murders', 'stop']",5.1
One and Two,drama,"['two', 'siblings', 'discover', 'supernatural', 'escape', 'troubled', 'home', 'find', 'bond', 'tested', 'reality', 'threatens', 'tear', 'family', 'apart']",5.2
The Elder One,action,"['transgender', 'child', 'lakshadweep', 'sets', 'mumbai', 'pursuit', 'akbar', 'elder', 'brother', 'left', 'island', 'due', 'sexual', 'orientation']",7.5
Symbiopsychotaxiplasm: Take One,documentary,"['filmmaker', 'william', 'greaves', 'auditioned', 'acting', 'students', 'fictional', 'drama', 'simultaneously', 'shooting', 'behindthescenes', 'drama', 'taking', 'place']",7.2
One Piece: Dead End Adventure,animation,"['luffy', 'gang', 'finds', 'joins', 'death', 'race', 'deadend', 'exmarine', 'gasparde', 'bounty', 'hunter', 'shuraiya', 'clash', 'conspiracy', 'race', 'unfolds']",7.2
One Piece: Baron Omatsuri and the Secret Island,animation,"['straw', 'hat', 'pirates', 'received', 'advertisement', 'recreational', 'island', 'offers', 'looked', 'promising', 'sailed', 'island', 'opportunity', 'kick', 'back', 'relax', 'journey', 'across', 'grand', 'line', 'site']",7.1
"One Sings, the Other Doesn't",drama,"['lives', 'pomme', 'aspiring', 'singer', 'suzanne', 'struggling', 'mother', 'search', 'identity', '1970s', 'france']",7.3
"Institute Benjamenta, or This Dream That One Calls Human Life",drama,"['young', 'man', 'goes', 'school', 'servants', 'run', 'brother', 'sister', 'dreamlike', 'surreal', 'world', 'enters', 'presence', 'impact', 'people', 'possibly', 'even', 'school']",7.0
Mike Birbiglia: The New One,comedy,"['comedian', 'mike', 'birbiglia', 'hits', 'broadway', 'hilarious', 'yet', 'profound', 'oneman', 'show', 'recounts', 'emotional', 'physical', 'journey', 'parenthood']",7.7
Number One Fan,comedy,"['muriel', 'bayen', 'divorced', 'beautician', 'mother', 'two', 'loves', 'tell', 'stories', 'huge', 'fan', 'singer', 'vincent', 'lacroix', 'fact', 'dedicated', 'fan', 'one', 'day', 'vincent', 'knocks', 'door', 'asks', 'help']",6.4
Square One: Michael Jackson,documentary,"['investigation', 'original', '1993', 'allegations', 'michael', 'jackson', 'brought', 'chandler', 'family']",7.5
One Royal Holiday,comedy,"['anna', 'offers', 'stranded', 'mother', 'son', 'shelter', 'blizzard', 'learns', 'royal', 'family', 'galwick', 'anna', 'shows', 'prince', 'christmas', 'hometown', 'encouraging', 'open', 'heart', 'true']",7.0
Gabriel &quot;Fluffy&quot; Iglesias: One Show Fits All,comedy,"['gabriel', 'fluffy', 'iglesias', 'discusses', 'teenage', 'son', 'encounters', 'snoop', 'dogg', 'overzealous', 'fan']",7.2
One Winter Weekend,drama,"['recently', 'dumped', 'travel', 'writer', 'goes', 'ski', 'getaway', 'best', 'friend', 'find', 'double', 'booked', 'two', 'eligible', 'men', 'snowed', 'love', 'ensues', 'always']",6.6
